id,ht-22,ht-23,vt-23
0,0,,
1,1,1,
2,2,2,
3,3,3,
4,4,4,
5,5,5,
6,6,6,
7,3,3,
8,2,2,
9,6,6,
10,7,7,
11,8,8,
12,2,2,
13,3,3,
14,9,9,
15,2,2,
16,2,2,
17,10,10,
18,9,9,
19,11,11,
20,10,10,
21,2,2,
22,8,16,8
23,4,4,
24,1,1,
25,2,2,
26,6,6,
27,4,4,
28,2,2,
29,6,6,
30,2,2,
31,1,1,
32,6,6,
33,0,0,
34,0,0,
35,0,0,
36,11,11,
37,0,0,
38,10,10,
39,6,6,
40,11,11,
41,1,1,
42,1,1,
43,10,10,
44,6,6,6
45,3,3,
46,9,9,
47,12,12,
48,10,10,
49,13,13,0
50,11,11,
51,6,6,
52,4,2,
53,10,10,10
54,11,11,1
55,0,0,
56,0,0,0
57,2,2,10
58,11,11,
59,3,3,
60,6,6,
61,7,7,
62,11,11,
63,0,0,
64,10,10,
65,9,9,
66,14,14,
67,1,1,
68,6,6,
69,2,2,
70,4,4,
71,10,10,
72,2,2,
73,2,2,
74,15,15,
75,1,1,
76,3,3,
77,2,2,
78,6,6,
79,0,0,
80,1,1,
81,10,10,
82,0,0,
83,4,4,
84,4,4,
85,0,0,
86,3,3,
87,3,3,
88,3,3,
89,4,4,
90,6,6,
91,10,10,
92,9,9,
93,16,16,
94,9,9,
95,9,9,
96,10,10,
97,10,10,
98,1,1,1
99,,11,
100,,17,
101,,2,
102,,0,0
103,,0,
104,,10,
105,,18,
106,,2,
107,,0,
108,,,1
109,,,19
110,,,12
111,,,10
112,,,3
113,,,1
114,,,2
115,,,5
116,,,6
117,,,6
118,,,0
119,,,3
120,,,10
121,,,4
122,,,3
123,,,2
124,,,11
125,,,1
126,,,20
127,,,3
128,,,0
129,,,6
130,,,10
131,,,4
132,,,2
133,,,2
134,,,19
135,,,0
136,,,12
137,,,1
138,,,6
139,,,2
140,,,1
141,,,6
142,,,11
143,,,6
144,,,19
145,,,9
146,,,9
147,,,3
148,,,6
149,,,3
150,,,4
151,,,1
152,,,21
153,,,10
154,,,9
155,,,0
156,,,10
157,,,2
158,,,4
159,,,11
160,,,4
161,,,2
162,,,10
163,,,3
164,,,6
165,,,4
166,,,10
167,,,3
168,,,6
169,,,3
